FOLIO;FECHA;CODIGO_PREDIO;NOMBRE_PREDIO;EQUIPO;UNIDAD_OPERATIVA;INTERVENCION;HORA_INICIO;HORA_TERMINO;TIEMPO_EFECTIVO;HORAS_COLACION;NUMERO_CICLOS;NUMERO_PERSONAS;RUT_EMPRESA;NOMBRE_EMPRESA;NUMERO_ACTA;SECUENCIA;RUT_CALIBRADOR;NOMBRE_CALIBRADOR;DIAMETRO;CODIGO_PRODUCTO;FACTOR_CORTEZA;ESPECIE;TROZOS;CODIGO_DESTINO;LARGO;LARGO_REAL;M3SSC;M3SSC_CABEZAL;STOCK;TIEMPOS_MUERTOS;TOTAL_HR_TMP_MUERTOS;TIPO_NOC;ESTADO_MADERA;FECHA_REGISTRO;FECHA_CORTE;ID_DETALLE_NOC;OBSERVACION;TIPO_EQUIPO;BIOMASA;PRODUCTO;NOMBRE_DESTINO;TEMPORADA;COMPLETA;ZONA_FORESTAL_PREDIO;ZONA_FORESTAL_MOVIL;ZONA_COSECHA;FSC_PRODUCCION;CERTFOR_PRODUCCION
825860;01-05-2026;12191;CE-27 ESPINALILLO YBAR;MG5;COSECHA;COSECHA;11:00;23:00;0:00;1:00;1;0;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2078007;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0244URCPLSD;CC;PIRA;0;T010;2,39;2,44;0;0;0;42-Descanso/Pausa programada-11;660;P;Fresca;01-05-2026 12:49:26;02-05-2026;0;;GRAPPLE;;PULPABLE;CP CONSTITUCION;VE2026;SI;FASA Zona Constituci;FASA Zona Constituci;FASA Zona Constituci;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825861;01-05-2026;10608;POLHUIN;T125;COSECHA;COSECHA;11:00;23:00;0:00;1:00;0;0;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2076038;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;E0550UGCPLLF;CC;EUGL;0;N011;5,4;5,5;0;0;0;42-Descanso/Pausa programada-11;660;P;Fresca;01-05-2026 12:51:52;02-05-2026;0;;TORRE500;;PULPABLE;PTA NVA ALDEA;VE2026;SI;FASA Zona Constituci;FASA Zona Constituci;FASA Zona Constituci;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825863;01-05-2026;11982;LO MARJU CBB;TEA02;COSECHA;COSECHA;11:00;23:00;0:00;1:00;0;0;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2077169;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0244NRCPLLF;CC;PIRA;0;N048;2,39;2,44;0;0;0;42-Descanso/Pausa programada-11;660;P;Quemada;01-05-2026 13:27:59;02-05-2026;0;;FORWINCH;;PULPABLE;CN RANQUIL;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0244NRCPLLF;CC;PIRA;0;N048;2,44;2,44;0;0;42;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Quemada;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;PULPABLE;CN RANQUIL;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0265LRCCAL1;CC;PIRA;87;N051;2,6;2,65;29,841;0;130;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Quemada;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;PODADO;CN LOG NVA ALDEA;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0265MRCCAL1;CC;PIRA;63;N051;2,6;2,65;21,987;0;322;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Quemada;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;ASERRABLE;CN LOG NVA ALDEA;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0265RRCCAL1;CC;PIRA;0;N051;2,6;2,65;0;0;30;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Fresca;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;ASERRABLE;CN LOG NVA ALDEA;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0350URCPLLF;CC;PIRA;;N011;3,5;3,5;32,050872;0;82;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Fresca;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;PULPABLE;PTA NVA ALDEA;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0375MRCCAL1;CC;PIRA;479;N051;3,65;3,75;120,229;0;670;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Quemada;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;ASERRABLE;CN LOG NVA ALDEA;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
825876;02-05-2026;11983;EL CABRITO CBB;S123;COSECHA;COSECHA;11:00;20:00;7:30;0:30;43;480;796625600;FORESTAL MILLALEMU Y CIA.LTDA.;2074817;1;796625600;MILLALEMU Y CIA.LTDA. FORESTAL MILLALEMU;;P0375RRCCAL1;CC;PIRA;277;N051;3,65;3,75;63,987;0;144;17-Falta de trozado-0.5|43-Colacion-0.5;60;P;Fresca;02-05-2026 23:46:48;02-05-2026;0;;SKIDDER;;ASERRABLE;CN LOG NVA ALDEA;VE2026;SI;FASA Zona Chillán;FASA Zona Chillán;FASA Zona Chillán;FSC 100%-SA-FM/COC-004173;100% CERTIFICADO CERTFOR-CL21/819943415
